x,y
3650438,2645000
4236422,4968000
2160453,1435000
1192747,1376000
1246905,1331000
2107772,2472000
1474138,1660000
1263017,1405000
1069830,1752000
2372485,2849000
1604025,1736000
3376196,3371000
4656818,5156000
2618895,3006000
2503658,3080000
4859890,5928000
2475973,2805000
1840126,1423000
3493517,2566000
2663582,2943000
2408202,2885000
1222003,1414000
1304252,1873000
1259861,1444000
5072804,6378000
1295339,1857000
2369316,2913000
2474944,3053000
2506980,3068000
1403193,1993000
2408863,2781000
1656894,1817000
2546659,2813000
3383663,2485000
2452277,2816000
1370431,1690000
1415221,1352000
1927676,2477000
1859875,1767000
2347250,2886000
1894074,1816000
1163635,823000
2212641,2568000
3144943,2297000
6800953,5653000
2184614,1375000
1534117,2426000
2455141,2931000
1171745,1546000
2741495,1896000
3515839,3517000
2119849,2551000
2502496,2988000
1215107,1086000
3482215,2521000
3215332,3950000
1242513,955000
1387328,2027000
2421441,2912000
1782950,2235000
3541863,2581000
1774249,1700000
2467602,3123000
6434787,6803000
2397406,2878000
1680257,2016000
1905630,2479000
1614594,1683000
2535333,3171000
2422010,2910000
1722602,2182000
1082688,1234000
1288446,1846000
2517692,3104000
2371147,2705000
3081707,3319000
1497560,1331000
2185222,2256000
1286894,1266000
1314096,1892000
2248701,2027000
2966763,3003000
1273219,1223000
1118188,1226000
1304233,1302000
1475366,1492000
834977,1256000
760816,844000
760456,1196000
1652461,1693000
948685,1336000
2976392,2956000
1850220,1849000
1571028,2168000
1669484,1885000
3415086,3556000
1435574,1397000
1304161,1512000
2186013,1970000
1594654,2100000
1680355,1718000
1087499,1156000
1002578,1351000
3389004,3968000
768119,925000
996682,1350000
1541315,1751000
1646560,1858000
1672052,1873000
1091643,1416000
2169470,2302000
1668079,1688000
1503606,1951000
1650090,1344000
1441412,1954000
1112045,1129000
724413,1012000
1454781,1799000
1428346,1347000
1528126,1737000
1462142,1386000
1057324,1000000
2369072,2325000
1872948,1710000
5279224,4370000
1143586,1011000
1757578,2202000
1723050,1757000
866166,986000
1600882,1366000
3102018,3068000
1489567,1567000
1660356,1822000
1198533,1123000
2126161,1923000
980661,742000
2036526,2365000
1032124,1763000
1693169,1743000
1333777,1674000
2168825,1945000
1333871,1276000
2482752,2475000
1640393,1911000
1672161,1708000
1783323,1788000
1437990,1775000
1340991,1412000
1712842,1754000
1697322,1981000
1286430,1616000
991796,1345000
1164399,1106000
1679861,1916000
2077012,2286000
1790899,2462000
1316073,1210000
2197785,1908000
992510,854000
1009804,1359000
2742223,2350000
3395603,2814000
1497965,1438000
1418931,1236000
1475867,1468000
1689095,1402000
972117,809000
794277,1166000
1017829,1108000
1882923,1570000
863093,1236000
3387182,3548000
2186852,2334000
1511811,2107000
1975842,1958000
3889284,3278000
1375130,1947000
1732658,1684000
2674627,2275000
1533090,2032000
1912596,1589000
966157,1136000
1137003,1394000
4013696,4096000
874384,944000
1131661,1381000
1819037,1823000
1949121,1928000
1979015,1964000
1226692,1480000
2011404,2280000
1879014,1898000
2177683,1524000
1446382,1961000
1383385,1965000
1247649,935000
704659,964000
1605441,1898000
1664486,1784000
1802789,1797000
1697986,1813000
1422225,1103000
2970953,2184000
2322406,1989000
3274181,5208000
1283004,1310000
2160535,2294000
1959156,1637000
957916,755000
1936236,1673000
3522173,3644000
1703299,1441000
1964719,1866000
1697373,1102000
2603702,2239000
2394828,2478000
1090454,1224000
764659,1855000
1935024,1608000
1484812,1751000
2653691,2265000
1553489,1701000
2983897,3101000
1938944,1973000
1904045,1585000
1223424,1382000
2183893,1689000
1585381,1887000
2010343,2065000
1948515,1611000
1434352,1694000
1126635,1376000
1477150,1066000
1988148,1957000
1791556,2188000
1624153,2370000
1306776,1289000
1282562,2207000
1145802,1242000
1144098,1406000
2904945,3027000
4985898,4321000
1818102,1655000
1429963,1517000
1380397,1432000
2480878,2145000
1586577,1586000
1468397,1124000
1492449,1037000
2816176,2498000
1666201,1587000
3844875,3670000
2910507,2707000
5901368,6404000
5829058,5266000
3058237,2885000
2757200,2612000
1467369,1646000
2726027,3169000
2941387,2668000
2859042,2545000
1317819,1114000
1983258,1436000
6192557,5855000
1561725,1473000
1971246,1425000
2899526,2720000
3023879,2832000
3062874,2858000
2125927,1518000
2614974,2332000
1813990,1932000
2793555,2531000
2671447,2799000
2727421,2545000
1711948,1443000
1400889,1216000
2708933,2022000
