x,y
2561690,2206000
4572636,4840000
657190,629000
1432874,1268000
1210567,1544000
1227546,1513000
2274078,2411000
857558,951000
1667260,1212000
1298482,1284000
1484797,835000
2581111,2761000
1833827,1315000
3608002,3456000
1083450,1166000
5051682,5174000
3024276,2128000
5375070,6310000
2779413,3602000
2772404,2094000
1109600,1281000
1303219,1455000
2444390,2249000
2933404,2291000
2622791,2788000
859480,802000
1357474,1075000
431458,883000
1713179,940000
5768005,7288000
1332755,1486000
1703369,936000
2641336,3453000
951170,968000
930952,820000
2745256,3549000
842047,462000
2783106,3609000
1128483,1443000
1845138,1022000
2646784,2436000
1184508,669000
1244043,1131000
941541,1134000
739108,859000
1759600,1683000
2790886,2164000
1837815,1948000
2808133,2133000
1593773,1813000
1045043,844000
1435234,1083000
785080,916000
2375866,1495000
2053055,1849000
1654467,1301000
2611585,3436000
2092390,1890000
834094,1043000
1012584,1106000
2409356,2619000
2164835,1868000
919720,1042000
5971366,4934000
1344734,1096000
2302921,1305000
1088911,875000
2677340,2873000
1381111,1622000
1859512,1699000
3757489,3629000
2349370,2437000
965101,792000
1059383,1135000
2692255,3558000
1436907,1016000
1004340,1280000
2455351,2065000
861118,829000
1682769,1021000
3572254,4437000
1285719,1132000
1110314,609000
1938933,1126000
613851,411000
1132183,898000
2644010,2853000
2191733,1335000
2500646,2104000
1962720,1781000
7011275,7046000
2807996,3589000
2610216,2781000
2344576,1452000
1823370,2072000
1696169,1585000
2878811,3635000
2640287,2862000
2120016,1303000
591243,897000
1695613,932000
1360435,888000
1170262,1316000
2797695,3632000
2622377,2140000
947679,1060000
734832,634000
3490522,2529000
1403431,1336000
1233605,1825000
1024642,1104000
1203003,748000
1210188,1069000
2384291,1878000
1421002,1328000
837327,718000
1725346,945000
2059237,1975000
3032532,3084000
684421,720000
1194492,970000
1172756,1223000
1345189,1640000
1507933,1540000
922935,929000
859206,855000
1209870,836000
1232249,826000
1691894,1681000
1271258,917000
3187968,3211000
803827,701000
2024334,1486000
2118548,2003000
3530038,3492000
1298688,1455000
1863390,2189000
683061,753000
1256505,1387000
1979943,1995000
1966476,1659000
1719820,1691000
664801,603000
1206413,913000
571905,851000
1321093,909000
3910049,4436000
818910,835000
1313173,907000
491706,570000
1724432,2058000
586810,583000
1836151,2174000
655870,399000
1865610,2189000
205732,462000
1429133,968000
2348588,2079000
952180,756000
968215,871000
974130,1166000
645259,683000
1740731,1857000
1854562,1523000
1373071,1041000
1863510,1498000
1183225,1138000
958061,769000
671017,610000
1809943,1348000
742704,850000
1561036,1509000
1132542,918000
1707189,2025000
1603149,1554000
981284,911000
1172396,1052000
1708192,1686000
2356515,2489000
4479746,3888000
514666,542000
1021269,859000
2083692,1828000
54320,646000
1766006,1726000
987698,922000
1447982,1444000
3318805,3322000
1570646,1540000
485207,436000
855662,1004000
1786407,2138000
814827,721000
1146161,1213000
1959637,1886000
1487895,698000
426166,455000
2302867,2556000
852209,532000
1004381,818000
1725593,785000
740334,678000
1176262,730000
1741898,1733000
1661571,1258000
1464469,1454000
1991166,1900000
1885775,2183000
2860242,2718000
1710985,1691000
1756513,1954000
1436597,1314000
1791720,1355000
1749252,1710000
1951503,2217000
1603266,1237000
623442,775000
1306123,898000
969715,801000
1163976,1247000
1874655,2212000
2333988,1829000
732209,989000
696352,587000
2411190,1703000
1198550,1531000
490757,545000
610622,663000
878635,684000
938124,898000
1951455,1338000
1071162,988000
887563,677000
1330720,911000
2271776,1856000
2895315,2851000
687190,625000
1335376,1005000
1230953,1272000
1453405,1730000
1439871,1419000
718573,936000
1122368,830000
825748,819000
1109365,932000
1628487,1534000
1161725,924000
3499177,3638000
620306,683000
2203314,2001000
1929585,1482000
3400626,3280000
1964717,2279000
1795248,1488000
1450436,1623000
707090,845000
2175267,1785000
1866135,1614000
1655129,1555000
738956,816000
1129230,969000
756445,1033000
1374335,911000
4125558,4667000
847230,900000
1366025,907000
1812091,2147000
811172,424000
603799,574000
649670,401000
1935294,2270000
1966909,2278000
92153,516000
1488101,994000
2267954,2186000
1025025,688000
1074671,1147000
965323,1204000
706742,561000
1920253,1850000
1765823,1509000
1608592,1435000
1775203,1487000
995224,1130000
690099,604000
895233,686000
1877325,1399000
871829,946000
1753882,1782000
1346307,872000
1793841,2128000
1795329,1834000
1096171,1284000
1560482,1300000
2291523,2467000
1874088,1535000
5264746,3393000
509416,478000
1186763,894000
2284802,1914000
724502,627000
1701293,1619000
785336,882000
1620233,1292000
3633304,3718000
1491396,1419000
456265,470000
827740,1036000
1881713,2240000
1024983,710000
1172853,1289000
2174724,1755000
1550353,841000
444783,454000
1053998,1594000
2419583,2642000
871759,519000
1795917,962000
856856,507000
1468281,1026000
1672348,1596000
1723274,1257000
2204908,1785000
1642770,1655000
1971020,2291000
3010656,2755000
1646844,1548000
1424227,1356000
1852398,1380000
1731157,1880000
1689774,1604000
2059249,2328000
1662164,1234000
652493,888000
1081304,816000
1358137,906000
1138784,1209000
1976217,2303000
2186591,1926000
777562,1028000
704081,590000
2206783,1763000
1219246,1650000
513831,486000
633177,733000
958045,615000
1074317,1088000
2257777,1411000
1166640,1222000
1093823,900000
1384470,915000
2847434,2006000
