x,y
3650438,2076801
4236422,4807310
2160453,1222674
1192747,1337056
1246905,1477602
2107772,2395681
1474138,1686277
1263017,1408390
1069830,1647656
2372485,2769324
1604025,1780492
3376196,3971613
4656818,5450620
2618895,2959411
2503658,3167886
4859890,5819854
2475973,2756016
1840126,1162669
3493517,2030803
2663582,2896321
2408202,2804336
1222003,1106252
1304252,1683184
1259861,1384637
5072804,6517806
1295339,1666009
2369316,2945834
2474944,3117632
2506980,3116478
1403193,1820048
2408863,2198749
1656894,2014308
2546659,2766535
3383663,1527815
2452277,2766538
1370431,1679257
1415221,1401697
1927676,2307025
1859875,2234016
2347250,2925244
1894074,2292098
1163635,923029
2212641,2567393
3144943,1794390
6800953,4616905
2184614,1170805
1534117,2339287
2455141,2860875
1171745,1522341
2741495,1483508
3515839,4156204
2119849,2479838
2502496,3038924
1215107,1086772
3482215,1975622
3215332,4019764
1242513,1199288
1387328,1668433
2421441,2849103
1782950,2089155
3541863,2017714
1774249,2171133
2467602,3182159
6434787,7235975
2397406,2796632
1680257,1971698
1905630,2303670
1614594,1328885
2535333,3237772
2422010,2840071
1722602,2017901
1082688,1241918
1288446,1653144
2517692,3199542
2371147,2077375
3081707,3397334
1497560,1199084
2185222,1793630
1286894,1610786
1314096,1703544
2248701,1875432
2966763,3134795
1273219,1135866
1118188,1290078
1304233,1335680
1475366,1556159
834977,934707
760816,884133
760456,945486
1652461,1816721
948685,1012398
2976392,3260353
1850220,2445480
1571028,1605056
1669484,1887300
3415086,3858640
1435574,1046293
1304161,1380874
2186013,1853405
1594654,1553010
1680355,1848041
1087499,943478
1002578,1031703
3389004,3890854
768119,756642
996682,1032517
1541315,1718734
1646560,1836844
1672052,1842251
1091643,1088977
2169470,1889460
1668079,1749788
1503606,1448314
1650090,1107231
1441412,1444670
1112045,1173971
724413,797370
1454781,1441712
1428346,1650317
1528126,1704205
1462142,1684017
1057324,1019132
2369072,2526774
1872948,1577806
5279224,4431799
1143586,929778
1757578,2202798
1723050,1899562
866166,1054848
1600882,1300433
3102018,3391175
1489567,1635784
1660356,1797479
1198533,1211777
2126161,1777836
980661,912491
2036526,2354283
1032124,1603020
1693169,1880445
1333777,1345290
2168825,1794730
1333871,1602192
2482752,3324263
1640393,1890864
1672161,1835980
1783323,1882188
1437990,1426022
1340991,1137822
1712842,1890328
1697322,1943266
1286430,1296234
991796,1028941
1164399,1238583
1679861,1923896
2077012,1844095
1790899,1882740
1316073,1111156
2197785,1889491
992510,1122686
1009804,1039242
2742223,2213291
3395603,3154083
1497965,1374566
1418931,1294296
1475867,1488385
1689095,1570732
972117,916733
794277,873226
1017829,948234
1882923,1799076
863093,959114
3387182,3574889
2186852,2596850
1511811,1584538
1975842,1987092
3889284,3799088
1375130,1459182
1732658,1589217
2674627,2142618
1533090,1532466
