x,y
2561690,1771482
4572636,4531442
657190,826620
1432874,1043665
1210567,1392611
1227546,1504137
2274078,2256040
857558,955861
1667260,1525088
1298482,1242553
1484797,1158456
2581111,2567775
1833827,1681351
3608002,3843951
1083450,1094112
5051682,5180000
3024276,2568456
5375070,5880010
2779413,3281630
2772404,2525278
1109600,1088620
1303219,1133103
2444390,1760653
2933404,2791847
2622791,2594074
859480,930637
1357474,1060599
431458,679864
1713179,1287012
5768005,6591152
1332755,1287498
1703369,1282409
2641336,3087931
951170,975022
930952,918885
2745256,3199680
842047,642753
2783106,3239440
1128483,1172809
1845138,1398471
2646784,2364842
1184508,908760
1244043,1285464
941541,1111671
739108,499668
1759600,1795227
2790886,2636082
1837815,1252841
2808133,2588809
1593773,1693088
1045043,940970
1435234,1399985
785080,697252
2375866,2051324
2053055,2221120
1654467,1068402
2611585,3075409
2092390,2251870
834094,1094614
1012584,1191530
2409356,2567971
2164835,1486835
919720,979903
5971366,3996252
1344734,936779
2302921,1812548
1088911,977215
2677340,2670771
1381111,1506816
1859512,1321996
3757489,4010907
2349370,2282257
965101,860979
1059383,753214
2692255,3208749
1436907,1269455
1004340,1233087
2455351,1659006
861118,748504
1682769,1205108
3572254,3881101
1285719,1232657
1110314,840536
1938933,1330814
613851,579327
1132183,800013
2644010,2662147
2191733,1835166
2500646,1690132
1962720,2172380
7011275,7037762
2807996,3241496
2610216,2586654
2344576,1984589
1823370,1972688
1696169,1491130
2878811,3289311
2640287,2676748
2120016,1787386
591243,784378
1695613,1276309
1360435,1220741
1170262,1318337
2797695,3312683
2622377,2091225
947679,792286
734832,681184
3490522,3231501
1403431,1322900
1233605,1621694
1024642,916087
1203003,1004672
1210188,1320006
2384291,1498824
1421002,1527758
837327,799330
1725346,1293862
2059237,1772661
3032532,3298224
684421,880722
1194492,960349
1172756,1239085
1345189,1532270
1507933,1645850
922935,987567
859206,953907
1209870,836035
1232249,855802
1691894,1822710
1271258,925735
3187968,3390663
803827,774978
2024334,1381988
2118548,2483210
3530038,3841474
1298688,1351977
1863390,2053556
683061,608992
1256505,1299607
1979943,1746420
1966476,1536977
1719820,1835452
664801,717838
1206413,845090
571905,804677
1321093,925416
3910049,4106422
818910,702262
1313173,922275
491706,694534
1724432,1886878
586810,489482
1836151,1997827
655870,421906
1865610,2016584
205732,432272
1429133,986835
2348588,1907240
952180,755274
968215,1012492
974130,1199369
645259,438672
1740731,1823492
1854562,1419285
1373071,1015710
1863510,1392710
1183225,1215332
958061,802474
671017,511597
1809943,1417972
742704,797452
1561036,1785973
1132542,870550
1707189,1857458
1603149,1822999
981284,960383
1172396,1164912
1708192,1467695
2356515,2592827
4479746,3558971
514666,519922
1021269,859946
2083692,2060520
54320,535017
1766006,1885381
987698,1031218
1447982,1254364
3318805,3514136
1570646,1645534
485207,319600
855662,687040
1786407,1987376
814827,696282
1146161,1265455
1959637,1669372
1487895,971865
426166,462014
2302867,2365133
852209,542099
1004381,949952
1725593,1098202
740334,798889
1176262,706772
1741898,1890581
1661571,1323735
1464469,1743392
1991166,1681489
1885775,2016853
2860242,3410189
1710985,1836574
1756513,2001256
1436597,1163185
1791720,1428732
1749252,1861667
1951503,2055339
1603266,1305162
623442,764576
1306123,911480
969715,857573
1163976,1350275
1874655,2084766
2333988,1682396
732209,750197
696352,594549
2411190,1735618
1198550,1299301
490757,668816
610622,525330
878635,688275
938124,1118101
1951455,1205266
1071162,1188308
887563,765068
1330720,927831
2271776,2175790
2895315,3223788
687190,840953
1335376,1205660
1230953,1261351
1453405,1667932
1439871,1602961
718573,1022259
1122368,843360
825748,952384
1109365,1050448
1628487,1762822
1161725,952453
3499177,3648233
620306,811360
2203314,2453000
1929585,1417135
3400626,3838810
1964717,2159308
1795248,1410669
1450436,1639134
707090,658601
2175267,2097447
1866135,1550908
1655129,1789455
738956,819981
1129230,897927
756445,1013303
1374335,1035500
4125558,4350226
847230,719225
1366025,1029701
1812091,1969325
811172,532434
603799,489131
649670,470445
1935294,2114579
1966909,2117064
92153,606257
1488101,1133758
2267954,1962614
1025025,757612
1074671,1098673
965323,1263773
706742,403589
1920253,1851004
1765823,1456620
1608592,1563536
1775203,1427054
995224,1294003
690099,507520
895233,740647
1877325,1588994
871829,945701
1753882,1857972
1346307,1068289
1793841,1950740
1795329,1900411
1096171,1312138
1560482,1273256
2291523,2604360
1874088,1778592
5264746,3274057
509416,481381
1186763,1080671
2284802,2210298
724502,531511
1701293,1880561
785336,1050580
1620233,1530517
3633304,3737636
1491396,1603519
456265,387808
827740,727455
1881713,2098636
1024983,705557
1172853,1344363
2174724,2043118
1550353,1136659
444783,484302
1053998,1190667
2419583,2453955
871759,607468
1795917,1296802
856856,643499
1468281,836748
1672348,1848821
1723274,1425845
2204908,2080948
1642770,1785685
1971020,2134287
3010656,3433971
1646844,1780145
1424227,1214154
1852398,1576712
1731157,1981588
1689774,1858205
2059249,2174102
1662164,1397212
652493,842062
1081304,934523
1358137,1028695
1138784,1329944
1976217,2185502
2186591,1763421
777562,775570
704081,598634
2206783,1822720
1219246,1417044
513831,620517
633177,557632
958045,686723
1074317,1174040
2257777,1328092
1166640,1222834
1093823,888650
1384470,1039664
2847434,1979905
4631983,4942226
662889,870188
1625732,1147113
1344311,1430649
1279726,1448106
2302181,2462667
838432,909080
1205627,1456025
1772005,1656252
1152650,1197186
2603944,2786765
1788958,1861760
3879851,4141909
1002679,1061560
5989390,6010940
3031279,2801394
2876433,2812516
2934174,3526412
5488009,6060126
1179345,1218372
1396633,1331013
2970931,1918957
2952266,3111649
2649163,2819131
976114,921337
1177812,1145061
616553,730555
1530146,1462439
6019513,7105900
1458652,1461683
1522781,1459301
2788699,3305320
1068494,1357964
1002769,1014251
2900659,3468010
801513,727305
2939277,3490713
350245,1063077
1642783,1539046
2373157,2361849
1129763,1195475
1017947,1210394
1392431,1325517
865068,513331
1839939,2096024
2123841,1614547
2824971,2914177
2842382,2829900
1549560,1660767
1116773,1052685
1363823,1467028
2221507,2112410
835896,765998
2285192,2507557
1727337,1272349
2758197,3278281
2328739,2539963
930415,1306604
1090912,1266388
2440680,1694889
2564310,2737093
6057409,4131595
996916,1072815
1418889,1109430
1187468,1079521
1842667,2006933
2699307,2886674
1321364,1428903
2149416,1429227
4029788,4346002
2348339,2522088
1011866,1064628
1097900,801464
2888079,3409684
1509923,1483444
1209056,1337735
2723694,1872438
1201504,1172430
974662,866970
3795298,4327843
1008585,946140
1457413,1329820
1375865,1374825
664377,837289
1365374,865554
2664111,2877629
2063853,1994933
2777651,1897022
2188233,2455319
8314270,8371157
2914708,3498626
2635104,2802642
2193960,2138959
1913023,2106278
1492452,1542329
2669318,2865149
3005452,3543227
1998609,1946496
673568,841849
1259689,1330717
1518806,1458057
1373812,1315290
2953164,3518381
2245888,2258641
1017634,819051
672021,763092
3442637,3545492
1150077,1693892
1671593,1670899
1117262,1066409
1166160,1168589
