date,impressions,uniques
2018-03-01,248011299,82590802
2018-03-02,381982982,117917988
2018-03-03,307505666,96999653
2018-03-04,325853404,98827021
2018-03-05,382856314,117367506
2018-03-06,394703990,122900249
2018-03-07,375256674,116375408
2018-03-08,275051893,86579182
2018-03-09,281855824,90888003
2018-03-10,283154968,88813585
2018-03-11,306920551,93959711
2018-03-12,408639973,123717988
2018-03-13,409355186,125208734
2018-03-14,446290189,136328606
2018-03-15,449393321,131737500
2018-03-16,438359140,134283486
2018-03-17,321760545,102348643
2018-03-18,335608553,105282428
2018-03-19,374383148,115385221
2018-03-20,431183481,137178047
2018-03-21,377140884,120241990
2018-03-22,408491733,128218316
2018-03-23,391838171,123350321
2018-03-24,301913000,103193541
2018-03-25,294632356,100072679
2018-03-26,388027302,123339617
2018-03-27,418753779,132913441
2018-03-28,173796121,64482931
2018-03-29,427385226,137988315
2018-03-30,381621223,126090359
2018-03-31,306813590,98502977
2018-04-01,294899962,97522869
2018-04-02,382011671,121208261
2018-04-03,379080884,115502827
2018-04-04,393186198,119924418
2018-04-05,373726614,117640380
2018-04-06,360904667,116184378
2018-04-07,284149520,90865543
2018-04-08,286679056,90079188
2018-04-09,411933637,122799410
2018-04-10,445000980,129672033
2018-04-11,486894053,132546486
2018-04-12,422261849,120485030
2018-04-13,360831952,109196660
2018-04-14,317937154,96535914
2018-04-15,262290204,87764423
2018-04-16,366827065,111975142
2018-04-17,354599216,111046062
2018-04-18,372984171,114997463
2018-04-19,340009189,109871251
2018-04-20,321265944,108161333
2018-04-21,215210088,77070627
2018-04-22,241055725,78900818
2018-04-23,333030902,101876596
2018-04-24,306518993,96227991
2018-04-25,303712177,96420221
2018-04-26,307585512,98577476
2018-04-27,287656548,96407421
2018-04-28,259058373,86992608
2018-04-29,197362563,69550325
2018-04-30,190399590,65272254
2018-05-01,259630541,52966333
2018-05-02,118496,102003
2018-05-03,319254510,93731153
2018-05-04,287445474,95706406
2018-05-05,218406631,75340028
2018-05-06,226439531,77283448
2018-05-07,349620360,114395650
2018-05-08,324275600,110259339
2018-05-09,231472749,81091370
2018-05-10,350371397,116756662
2018-05-11,318622765,113615892
2018-05-12,219162286,79759439
2018-05-13,231746229,81895340
2018-05-14,329529504,110568502
2018-05-15,345312375,110291985
2018-05-16,335329329,113190554
2018-05-17,348847578,112929988
2018-05-18,318205392,105787002
2018-05-19,216796803,76353226
2018-05-20,229732377,81114365
2018-05-21,328228796,107335449
2018-05-22,316907637,103387657
2018-05-23,298196985,98912551
2018-05-24,305939384,98773384
2018-05-25,286305917,94729402
2018-05-26,189289798,67350681
2018-05-27,196301934,69205626
2018-05-28,303096734,96507250
2018-05-29,301295121,98796073
2018-05-30,311871664,100035125
2018-05-31,314308623,101441883
2018-06-01,293553017,98000809
2018-06-02,188744432,67072086
2018-06-03,210879623,73128811
2018-06-04,320772689,101823407
2018-06-05,325260834,104941811
2018-06-06,320629599,103969358
2018-06-07,309240198,101201407
2018-06-08,326346608,105261066
2018-06-09,280130474,95063635
2018-06-10,200246828,73378924
2018-06-11,209943089,75386830
2018-06-12,225424544,80025913
2018-06-13,345213789,116060517
2018-06-14,374454619,125901935
2018-06-15,354647344,118222925
2018-06-16,235701686,86082871
2018-06-17,226063238,82897300
2018-06-18,350475357,113001118
2018-06-19,362452505,117952726
2018-06-20,378089120,121907213
2018-06-21,362894503,119476395
2018-06-22,337127305,113966660
2018-06-23,220311602,79375744
2018-06-24,237915769,83954348
2018-06-25,374709028,118141883
2018-06-26,352333378,115433415
2018-06-27,343698499,111410074
2018-06-28,325934167,109267355
2018-06-29,296004907,100777239
2018-06-30,206265943,73122035
2018-07-01,263972843,89547739
2018-07-02,385298417,123717851
2018-07-03,345074659,112959973
2018-07-04,339579067,113913947
