date,trend,weekly,monthly,holiday
2018-03-01,361577354.33474755,35016615.239864394,-3872448.80021196,0.0
2018-03-02,360778278.01756334,10190474.82162379,-7780723.798127435,0.0
2018-03-03,359979201.7003791,-68353022.87550019,-5711486.634364195,0.0
2018-03-04,359180125.38319486,-59763072.45595008,586702.3904428333,0.0
2018-03-05,358381049.0660106,29411053.37181586,4951156.590386615,0.0
2018-03-06,357581972.74882644,31709658.66105669,3091375.7981922254,0.0
2018-03-07,356782896.4316422,21788293.237161007,-2955260.3271658095,0.0
2018-03-08,355983820.11445796,35016615.23982303,-6645007.915906928,-107738098.46193951
2018-03-09,355184743.7972737,10190474.821596108,-3248962.7235382465,0.0
2018-03-10,354385667.48008955,-68353022.87553076,5540938.380488183,0.0
2018-03-11,353586591.16290534,-59763072.45602381,13206641.256920256,0.0
2018-03-12,352787514.84572107,29411053.371848978,14551715.04543852,0.0
2018-03-13,351988438.5285368,31709658.661089987,10330043.59234227,0.0
2018-03-14,351189362.1893881,21788293.23716848,5923300.856732409,0.0
2018-03-15,350390285.8502393,35016615.239869095,5622215.159182166,0.0
2018-03-16,349591209.5110905,10190474.821533758,8379065.739813382,0.0
2018-03-17,348792133.1719417,-68353022.87556136,9258714.998894062,0.0
2018-03-18,347993056.832793,-59763072.45612392,4951357.764118338,0.0
2018-03-19,347193980.4936442,29411053.37178916,-2422203.0622028806,0.0
2018-03-20,346394904.1544954,31709658.66106988,-7210549.123373601,0.0
2018-03-21,345595827.8153466,21788293.237150986,-5968185.750823321,0.0
2018-03-22,344796751.4761979,35016615.23985805,-1157451.2488847403,0.0
2018-03-23,343997675.1370491,10190474.821471423,1098334.8507418311,0.0
2018-03-24,343198598.7979003,-68353022.87548648,-2873417.989065713,0.0
2018-03-25,342399522.47224367,-59763072.456049874,-10406145.007686095,0.0
2018-03-26,341600446.1465871,29411053.371822275,-14836448.243913183,0.0
2018-03-27,340801369.8209303,31709658.661051523,-11916994.670113156,0.0
2018-03-28,340002293.4952737,21788293.23715846,-4023241.6569344825,0.0
2018-03-29,339203217.169617,35016615.23984524,2034580.52763638,0.0
2018-03-30,338404140.84396034,10190474.821559036,1502384.0009803409,0.0
2018-03-31,337605064.5183037,-68353022.87555094,-3872448.800210221,0.0
2018-04-01,336805988.192647,-59763072.45602861,-7780723.798126646,0.0
2018-04-02,336006911.8669903,29411053.3718554,-5711486.63434973,0.0
2018-04-03,335207835.5413337,31709658.661033157,586702.3904391964,0.0
2018-04-04,334408759.21567696,21788293.237149097,4951156.590382117,0.0
2018-04-05,333609682.8900203,35016615.239862755,3091375.7981944955,0.0
2018-04-06,332810606.5969486,10190474.821531346,-2955260.327163284,0.0
2018-04-07,332011530.3038769,-68353022.87554765,-6645007.915905429,0.0
2018-04-08,331212454.0108052,-59763072.45595457,-3248962.7235384225,0.0
2018-04-09,330413377.7177335,29411053.371795584,5540938.38050653,0.0
2018-04-10,329614301.4246618,31709658.661066454,13206641.25692787,0.0
2018-04-11,328815225.1315901,21788293.237148426,14551715.04542447,0.0
2018-04-12,328016148.8385184,35016615.23988027,10330043.592345437,0.0
2018-04-13,327217072.5454467,10190474.821503656,5923300.856732364,0.0
2018-04-14,326417996.252375,-68353022.8754012,5622215.159178631,0.0
2018-04-15,325618919.95930326,-59763072.45605468,8379065.7397839,0.0
2018-04-16,324819843.6662316,29411053.371828694,9258714.998890946,0.0
2018-04-17,324020767.3731599,31709658.66104635,4951357.764113093,0.0
2018-04-18,323221691.0568087,21788293.237147752,-2422203.0622241087,0.0
2018-04-19,322422614.74045753,35016615.23986922,-7210549.123374486,0.0
2018-04-20,321623538.42410636,10190474.82155661,-5968185.750809748,0.0
2018-04-21,320824462.10775524,-68353022.87543178,-1157451.2488887166,0.0
2018-04-22,320025385.79140407,-59763072.456007026,1098334.8507394851,0.0
2018-04-23,319226309.4750529,29411053.3718755,-2873417.989065316,0.0
2018-04-24,318427233.1587017,31709658.66108139,-10406145.00768127,0.0
2018-04-25,317628156.84235054,21788293.237155207,-14836448.243914789,0.0
2018-04-26,316829080.52599937,35016615.23988497,-11916994.670132669,0.0
2018-04-27,316030004.2096482,10190474.821528919,-4023241.656913115,0.0
2018-04-28,315230927.893297,-68353022.87546235,2034580.527632555,0.0
2018-04-29,314467825.9185758,-59763072.45595938,1502384.0009657259,0.0
2018-04-30,313704723.94385463,29411053.371908624,-3872448.800207308,0.0
2018-05-01,312941621.9691335,31709658.66111294,-7780723.7981258575,-76736507.04792593
2018-05-02,312178519.9944123,21788293.23715453,-5711486.634353032,0.0
2018-05-03,311415418.0196911,35016615.23987392,586702.3904355587,0.0
2018-05-04,310652316.0449699,10190474.821466574,4951156.590387614,0.0
2018-05-05,309889214.0702487,-68353022.87549295,3091375.798194571,0.0
2018-05-06,309126112.0955275,-59763072.456033096,-2955260.3271838985,0.0
2018-05-07,308363010.12080634,29411053.371848807,-6645007.915900621,0.0
2018-05-08,307599908.14608514,31709658.661092844,-3248962.723541054,0.0
2018-05-09,306836806.171364,21788293.237153854,5540938.380502562,-100978833.35862531
2018-05-10,306073704.19664276,35016615.23989143,13206641.256919738,0.0
2018-05-11,305479835.8652417,10190474.821704132,14551715.045423387,0.0
2018-05-12,304885967.53384066,-68353022.87545195,10330043.59234583,0.0
2018-05-13,304292099.20243955,-59763072.45601184,5923300.856730736,0.0
2018-05-14,303698230.8710385,29411053.37188193,5622215.159175099,0.0
2018-05-15,303104362.5396374,31709658.661076214,8379065.739809362,0.0
2018-05-16,302510494.20823634,21788293.237153172,9258714.998893458,0.0
2018-05-17,301916625.8768353,35016615.23985007,4951357.76411732,0.0
2018-05-18,301322757.5454342,10190474.821641788,-2422203.062197997,0.0
2018-05-19,300728889.2140331,-68353022.87551641,-7210549.123368073,0.0
2018-05-20,300135020.882632,-59763072.455937795,-5968185.750808724,0.0
2018-05-21,299541152.55123097,29411053.37192873,-1157451.2489144397,0.0
2018-05-22,299223127.0109801,31709658.661107775,1098334.850746101,0.0
2018-05-23,298905101.4707293,21788293.237160638,-2873417.9890629556,0.0
2018-05-24,298587075.93047845,35016615.23989614,-10406145.0077001,0.0
2018-05-25,298269050.3902276,10190474.821614098,-14836448.24391311,0.0
2018-05-26,297951024.8499768,-68353022.8755131,-11916994.670132402,0.0
2018-05-27,297632999.30972594,-59763072.45589015,-4023241.656913497,0.0
2018-05-28,297314973.7694751,29411053.37173492,2034580.5276329769,0.0
2018-05-29,296996948.22922426,31709658.661089413,1502384.0009841206,0.0
2018-05-30,296678922.6889734,21788293.237143137,-3872448.8002085523,0.0
2018-05-31,296360897.1487226,35016615.23988509,-7780723.798130871,0.0
2018-06-01,296042871.6084717,10190474.821517106,-5711486.634369861,0.0
2018-06-02,295724846.0682209,-68353022.87547214,586702.3904344381,0.0
2018-06-03,295502503.3521163,-59763072.45596386,4951156.590388113,0.0
2018-06-04,295280160.63601166,29411053.37178172,3091375.79819684,0.0
2018-06-05,295057817.9199071,31709658.661069307,-2955260.327182587,0.0
2018-06-06,294835475.20380247,21788293.23715928,-6645007.915899457,0.0
2018-06-07,294613132.4876979,35016615.23984196,-3248962.7235244783,0.0
2018-06-08,294390789.7715933,10190474.821639366,5540938.380502772,0.0
2018-06-09,294168447.0554887,-68353022.8755027,13206641.25692697,0.0
2018-06-10,293946104.3393841,-59763072.45594261,14551715.045432296,0.0
2018-06-11,293723761.62327945,29411053.371814843,10330043.592349,0.0
2018-06-12,293501418.9071749,31709658.661052678,5923300.856735686,-105451771.9382362
2018-06-13,293279076.19107026,21788293.237166744,5622215.1591715645,0.0
2018-06-14,293056733.47496563,35016615.23985948,8379065.739810093,0.0
2018-06-15,292834390.7542787,10190474.821577031,9258714.998895973,0.0
2018-06-16,292612048.0335918,-68353022.8755333,4951357.764103778,0.0
2018-06-17,292389705.3129049,-59763072.455868565,-2422203.062197475,0.0
2018-06-18,292167362.59221804,29411053.37175503,-7210549.123373884,0.0
2018-06-19,291945019.87153107,31709658.66108424,-5968185.750807705,0.0
2018-06-20,291722677.1508442,21788293.237149257,-1157451.2489150327,0.0
2018-06-21,291500334.43015724,35016615.239876986,1098334.8507477208,0.0
2018-06-22,291277991.7094704,10190474.821549341,-2873417.9890634553,0.0
2018-06-23,291055648.9887835,-68353022.87556387,-10406145.007677138,0.0
2018-06-24,290833306.26809657,-59763072.456090026,-14836448.243914714,0.0
2018-06-25,290610963.54740965,29411053.37178814,-11916994.670119623,0.0
2018-06-26,290388620.8514848,31709658.66106587,-4023241.656917261,0.0
2018-06-27,290166278.15555996,21788293.237165384,2034580.5276333995,0.0
2018-06-28,289943935.4596351,35016615.23986594,1502384.000986257,0.0
2018-06-29,289721592.76371026,10190474.821602294,-3872448.800205636,0.0
2018-06-30,289499250.0677854,-68353022.87552288,-7780723.798130082,0.0
2018-07-01,289276907.3718605,-59763072.45606878,-5711486.634372144,0.0
2018-07-02,289054564.6759357,29411053.371834956,586702.3904525491,0.0
2018-07-03,288832221.9800108,31709658.661047507,4951156.59038939,0.0
2018-07-04,288609879.2840859,21788293.237164702,3091375.7981991107,0.0
2018-07-05,288387536.5881611,35016615.239881694,-2955260.32718024,0.0
2018-07-06,288165193.89223623,10190474.821574599,-6645007.915899647,0.0
2018-07-07,287942851.1963114,-68353022.87551959,-3248962.7235275162,0.0
2018-07-08,287720517.94834846,-59763072.45599473,5540938.380498805,0.0
2018-07-09,287498184.7003855,29411053.371868066,13206641.256926818,0.0
2018-07-10,287275851.45242256,31709658.6610808,14551715.045431213,0.0
2018-07-11,287053518.2044596,21788293.237163503,10330043.592327643,0.0
2018-07-12,286831184.95649666,35016615.239870645,5923300.856736195,0.0
2018-07-13,286608851.7085337,10190474.82151226,5622215.159188465,0.0
2018-07-14,286386518.46057075,-68353022.87558404,8379065.739799859,0.0
2018-07-15,286164185.2126078,-59763072.45609484,9258714.998887857,0.0
2018-07-16,285941851.96464485,29411053.37180825,4951357.764103267,0.0
2018-07-17,285719518.7166819,31709658.661060702,-2422203.062196955,0.0
2018-07-18,285497185.4687189,21788293.237146012,-7210549.123374767,0.0
2018-07-19,285274852.22075593,35016615.2398596,-5968185.750810881,0.0
2018-07-20,285125335.35120314,10190474.82144992,-1157451.2488972577,0.0
2018-07-21,284975818.48165035,-68353022.87540373,1098334.8507453748,0.0
2018-07-22,284826301.6120975,-59763072.45604719,-2873417.9890601924,0.0
2018-07-23,284676784.74254465,29411053.37184138,-10406145.00767507,0.0
2018-07-24,284527267.87299186,31709658.661044072,-14836448.243906764,0.0
2018-07-25,284377751.003439,21788293.23716214,-11916994.670119355,0.0
2018-07-26,284228234.1338862,35016615.23984678,-4023241.6569383712,0.0
2018-07-27,284078717.2643334,10190474.821537528,2034580.5276388212,0.0
2018-07-28,283929200.3947806,-68353022.87546818,1502384.0009879002,0.0
2018-07-29,283779683.5252277,-59763072.45599955,-3872448.8002256486,0.0
2018-07-30,283630166.65567493,29411053.371874493,-7780723.798129694,0.0
2018-07-31,283586420.1257215,31709658.66102397,-5711486.6343720555,0.0
2018-08-01,283542673.5957681,21788293.237152793,586702.3904514285,0.0
2018-08-02,283498927.0658147,35016615.2398643,4951156.590389889,0.0
2018-08-03,283455180.53586125,10190474.821509833,3091375.7982013808,0.0
2018-08-04,283411434.00590783,-68353022.8754649,-2955260.3271791064,0.0
2018-08-05,283367687.4759544,-59763072.455925494,-6645007.915904832,0.0
2018-08-06,283323940.94600105,29411053.371814672,-3248962.7235468985,0.0
2018-08-07,283280194.4160476,31709658.661108926,5540938.380516586,0.0
2018-08-08,283236447.8860942,21788293.237152122,13206641.256920699,0.0
2018-08-09,283192701.3561408,35016615.23988181,14551715.04544688,0.0
2018-08-10,283148954.8261874,10190474.821412846,10330043.592331832,0.0
2018-08-11,283105208.29623395,-68353022.8754239,5923300.856736704,0.0
2018-08-12,283178186.96146935,-59763072.456052005,5622215.15919223,0.0
2018-08-13,283251165.6267047,29411053.37184779,8379065.739800589,0.0
2018-08-14,283324144.29194003,31709658.66108882,9258714.998895368,0.0
2018-08-15,283397122.95717543,21788293.237151437,4951357.764107496,0.0
2018-08-16,283470101.6224108,35016615.239870764,-2422203.062214341,0.0
2018-08-17,283543080.2876461,10190474.821535096,-7210549.123370652,0.0
2018-08-18,283616058.95288146,-68353022.87545449,-5968185.75080986,0.0
2018-08-19,283689037.61811686,-59763072.45597797,-1157451.2488966384,0.0
2018-08-20,283762016.2833522,29411053.371894598,1098334.8507380309,0.0
2018-08-21,283834994.9485876,31709658.661072195,-2873417.9890745822,0.0
2018-08-22,283907973.61382294,21788293.237158902,-10406145.007673858,8654921.338567406
2018-08-23,283980952.27905834,35016615.239886515,-14836448.243913367,0.0
2018-08-24,284056332.2718024,10190474.821657358,-11916994.67012333,0.0
2018-08-25,284131712.2645465,-68353022.87548506,-4023241.656943156,0.0
2018-08-26,284207092.25729066,-59763072.45593031,2034580.5276378584,0.0
2018-08-27,284282472.25003475,29411053.371941395,1502384.0009859304,0.0
2018-08-28,284357852.24277884,31709658.661103755,-3872448.8002009834,0.0
2018-08-29,284433232.2355229,21788293.237141404,-7780723.798130117,0.0
2018-08-30,284508612.2282671,35016615.239875466,-5711486.634357589,0.0
2018-08-31,284583992.22101116,10190474.821595015,586702.3904260421,0.0
2018-09-01,284659372.2137553,-68353022.87551564,4951156.590392552,0.0
2018-09-02,284734752.2064994,-59763072.45600402,3091375.798201456,0.0
2018-09-03,284810132.1992435,29411053.37174759,-2955260.3271765816,0.0
2018-09-04,284885512.21032774,31709658.661083654,-6645007.915903669,0.0
2018-09-05,284960892.221412,21788293.23715754,-3248962.7235470754,0.0
2018-09-06,285036272.2324963,35016615.23989298,5540938.380520973,0.0
2018-09-07,285111652.2435806,10190474.821682625,13206641.25692294,0.0
2018-09-08,285187032.25466484,-68353022.87547466,14551715.045434043,0.0
2018-09-09,285262412.2657491,-59763072.45598277,10330043.592335002,0.0
2018-09-10,285337792.27683336,29411053.371780716,5923300.856731658,0.0
2018-09-11,285413172.2879177,31709658.66106702,5622215.159168332,0.0
2018-09-12,285488552.29900193,21788293.237156857,8379065.739795836,0.0
2018-09-13,285563932.3100862,35016615.239880174,9258714.998887833,0.0
2018-09-14,285639312.32117045,10190474.821620284,4951357.764106986,0.0
2018-09-15,285714692.3322547,-68353022.87547137,-2422203.062216682,0.0
2018-09-16,285790072.37451196,-59763072.45590872,-7210549.123371537,0.0
2018-09-17,285865452.41676927,29411053.371827506,-5968185.7507962845,0.0
2018-09-18,285940832.45902646,31709658.661098585,-1157451.248900614,0.0
2018-09-19,286016212.5012837,21788293.237164322,1098334.8507356856,0.0
2018-09-20,286091592.543541,35016615.23986736,-2873417.9890741827,0.0
2018-09-21,286166972.5857982,10190474.821592595,-10406145.00767179,0.0
2018-09-22,286242352.6280555,-68353022.87553583,-14836448.243906688,0.0
2018-09-23,286317732.6703127,-59763072.45586108,-11916994.67011882,0.0
2018-09-24,286393112.71256995,29411053.37175401,-4023241.6569251698,0.0
2018-09-25,286468492.75482726,31709658.66108021,2034580.527636895,0.0
2018-09-26,286543872.79708445,21788293.237146832,1502384.000971316,0.0
2018-09-27,286619252.8393417,35016615.23985632,-3872448.800198069,0.0
2018-09-28,286694632.92233205,10190474.821495606,-7780723.798128117,0.0
2018-09-29,286770013.00532234,-68353022.87549484,-5711486.634359873,0.0
2018-09-30,286845393.0883126,-59763072.45596119,586702.3904277842,0.0
2018-10-01,286920773.171303,29411053.37180081,4951156.590390217,0.0
2018-10-02,286996153.25429326,31709658.66106185,3091375.798204512,0.0
2018-10-03,287071533.3372836,21788293.23716297,-2955260.327174057,0.0
2018-10-04,287146913.4202739,35016615.23984351,-6645007.915903858,0.0
2018-10-05,287222293.50326425,10190474.821617858,-3248962.723532957,0.0
2018-10-06,287297673.58625454,-68353022.87552541,5540938.380517004,0.0
2018-10-07,287373053.6692448,-59763072.456061296,13206641.256919805,0.0
2018-10-08,287448433.7522352,29411053.371833928,14551715.04543296,0.0
2018-10-09,287523815.2025464,31709658.66104349,10330043.592335396,0.0
2018-10-10,287599196.6528576,21788293.23717043,5923300.856731612,0.0
2018-10-11,287674578.10316885,35016615.23986103,5622215.159168483,0.0
2018-10-12,287749959.5534801,10190474.821555518,8379065.739818314,0.0
2018-10-13,287825341.0037913,-68353022.87555599,9258714.998890348,0.0
2018-10-14,287900722.4541025,-59763072.45598725,4951357.764127964,0.0
2018-10-15,287976103.90441376,29411053.37177412,-2422203.062209456,0.0
2018-10-16,288051485.35472494,31709658.66107505,-7210549.123368737,0.0
2018-10-17,288126866.8050362,21788293.237144276,-5968185.750798246,0.0
2018-10-18,288202248.25534743,35016615.23987853,-1157451.2488999937,0.0
2018-10-19,288277629.7056587,10190474.821493179,1098334.85074332,0.0
2018-10-20,288353011.15596986,-68353022.87558657,-2873417.9890737836,0.0
2018-10-21,288428392.6119284,-59763072.456113756,-10406145.007688714,0.0
2018-10-22,288503774.067887,29411053.371807244,-14836448.243908297,0.0
2018-10-23,288579155.52384555,31709658.66105668,-11916994.670122795,0.0
2018-10-24,288654536.9798041,21788293.23716041,-4023241.6569255535,0.0
2018-10-25,288729918.4357627,35016615.239867486,2034580.527632319,0.0
2018-10-26,288805299.89172125,10190474.821580796,1502384.0009729587,0.0
2018-10-27,288880681.34767985,-68353022.87554559,-3872448.8001975096,0.0
2018-10-28,288956062.8036384,-59763072.45603971,-7780723.798132729,0.0
2018-10-29,289031444.25959694,29411053.371854033,-5711486.634360971,0.0
2018-10-30,289106825.71555555,31709658.661038317,586702.3904484122,0.0
2018-10-31,289182207.1715141,21788293.237151053,4951156.590390716,0.0
2018-11-01,289257589.4420277,35016615.23988323,3091375.7982038003,0.0
2018-11-02,289332971.7125413,10190474.8215531,-2955260.3271715324,0.0
2018-11-03,289408353.9830549,-68353022.87543684,-6645007.9159037145,0.0
2018-11-04,289483736.2535685,-59763072.45596567,-3248962.723533131,485650.7715382749
2018-11-05,289559118.52408206,29411053.371900838,5540938.3804918565,0.0
2018-11-06,289634500.79459566,31709658.66107161,13206641.256932413,0.0
2018-11-07,289709883.06510925,21788293.23715038,14551715.045435658,0.0
2018-11-08,289785265.3356229,35016615.239872195,10330043.592360312,0.0
2018-11-09,289860647.6061365,10190474.821490757,5923300.856731564,0.0
2018-11-10,289936029.8766501,-68353022.8755013,5622215.159164949,0.0
2018-11-11,290011412.1471637,-59763072.45606577,8379065.739813565,0.0
2018-11-12,290086794.4176773,29411053.371827338,9258714.99888723,0.0
2018-11-13,290175719.79177344,31709658.66105151,4951357.764105968,0.0
2018-11-14,290264645.16586953,21788293.23714971,-2422203.062205093,0.0
2018-11-15,290353570.5399657,35016615.23986114,-7210549.123370935,0.0
2018-11-16,290442495.9140618,10190474.821428413,-5968185.750818173,0.0
2018-11-17,290531421.28815794,-68353022.87542643,-1157451.2488993723,0.0
2018-11-18,290620346.6622541,-59763072.45601812,1098334.8507439198,0.0
2018-11-19,290709272.0363502,29411053.371860467,-2873417.9890546706,0.0
2018-11-20,290798197.4104463,31709658.661086544,-10406145.007687498,0.0
2018-11-21,290887122.78454244,21788293.23716583,-14836448.2439099,0.0
2018-11-22,290976048.1586386,35016615.23987689,-11916994.670108803,0.0
2018-11-23,291064973.53273475,10190474.821516016,-4023241.656925934,0.0
2018-11-24,291153898.9068309,-68353022.87545702,2034580.5276334912,0.0
2018-11-25,291269709.84949034,-59763072.45597048,1502384.0009750968,0.0
2018-11-26,291385520.7921498,29411053.371893577,-3872448.8001945927,0.0
2018-11-27,291501331.7348093,31709658.6611181,-7780723.798126942,0.0
2018-11-28,291617142.6774688,21788293.237156484,-5711486.634363255,0.0
2018-11-29,291732953.6201282,35016615.23986585,586702.3904447746,0.0
2018-11-30,291848764.5627877,10190474.821638271,4951156.590383383,0.0
2018-12-01,291964575.5054472,-68353022.87548758,3091375.7981871255,0.0
2018-12-02,292080386.44810665,-59763072.45589643,-2955260.327170396,0.0
2018-12-03,292196197.39076614,29411053.371833764,-6645007.915907547,0.0
2018-12-04,292312008.3334256,31709658.66109974,-3248962.723535764,0.0
2018-12-05,292427819.2760851,21788293.237155803,5540938.3804915,0.0
2018-12-06,292551335.6656077,35016615.239883356,13206641.256929278,0.0
2018-12-07,292674852.05513036,10190474.821541283,14551715.045434576,0.0
2018-12-08,292798368.44465303,-68353022.8754466,10330043.592338955,0.0
2018-12-09,292921884.83417565,-59763072.45602294,5923300.856734936,0.0
2018-12-10,293045401.2236983,29411053.37186689,5622215.159178166,0.0
2018-12-11,293168917.613221,31709658.661081374,8379065.7397955265,0.0
2018-12-12,293292434.0027436,21788293.23715512,9258714.998889742,0.0
2018-12-13,293415950.3922663,35016615.23990087,4951357.764109176,0.0
2018-12-14,293539466.7817889,10190474.82166354,-2422203.0622045724,0.0
2018-12-15,293662983.17131156,-68353022.87547718,-7210549.123371818,0.0
2018-12-16,293786499.56083417,-59763072.45594889,-5968185.750821349,0.0
2018-12-17,293910015.95035684,29411053.371793374,-1157451.2488815996,0.0
2018-12-18,294080830.48813033,31709658.661063008,1098334.8507415738,0.0
2018-12-19,294251645.0259039,21788293.237162597,-2873417.9890710227,0.0
2018-12-20,294422459.56367743,35016615.23988806,-10406145.007684583,0.0
2018-12-21,294593274.1014509,10190474.82163585,-14836448.24390822,0.0
2018-12-22,294764088.63922447,-68353022.87550777,-11916994.6701265,0.0
2018-12-23,294934903.17699796,-59763072.455901235,-4023241.656926316,0.0
2018-12-24,295105717.7147715,29411053.37171988,2034580.527633915,0.0
2018-12-25,295276532.25254506,31709658.66109457,1502384.000976739,-35164866.396629356
2018-12-26,295447346.79031855,21788293.2371451,-3872448.8002175866,0.0
2018-12-27,295618161.3280921,35016615.239877015,-7780723.798126955,0.0
2018-12-28,295788975.86586565,10190474.821538856,-5711486.634346582,0.0
2018-12-29,295959790.4036392,-68353022.87553835,586702.3904436537,0.0
2018-12-30,296130604.9414127,-59763072.456001356,4951156.590390328,0.0
2018-12-31,296301419.4791862,29411053.371766683,3091375.798189396,0.0
2019-01-01,296472234.0169597,31709658.661074467,-2955260.3271678733,-110638176.95496611
2019-01-02,296643048.5547333,21788293.237161238,-6645007.915901384,0.0
2019-01-03,296813863.0925068,35016615.2398642,-3248962.723538395,0.0
2019-01-04,296984677.6302803,10190474.821661122,5540938.380509281,0.0
2019-01-05,297155492.1680538,-68353022.87549736,13206641.256926142,0.0
2019-01-06,297326306.70582736,-59763072.4559537,14551715.04543849,0.0
2019-01-07,297497121.2436009,29411053.371799793,10330043.592339346,-106873805.94201197
2019-01-08,297667935.78137445,31709658.661057834,5923300.856732582,0.0
2019-01-09,297838750.31914794,21788293.23716055,5622215.159178317,0.0
2019-01-10,298009564.8569215,35016615.23985139,8379065.739796256,0.0
2019-01-11,298180379.394695,10190474.821598781,9258714.998897253,0.0
2019-01-12,298351193.93246853,-68353022.87549406,4951357.764113403,0.0
2019-01-13,298522008.4702421,-59763072.45602742,-2422203.062200209,0.0
2019-01-14,298692823.0080156,29411053.371860288,-7210549.123372628,0.0
2019-01-15,298863637.5457891,31709658.661089394,-5968185.7508203285,0.0
2019-01-16,299034452.0835626,21788293.2371512,-1157451.248886787,0.0
2019-01-17,299205266.62133616,35016615.23986891,1098334.8507431925,0.0
2019-01-18,299376081.1591097,10190474.82157109,-2873417.9890686614,0.0
2019-01-19,299546895.6968832,-68353022.87555853,-10406145.007683365,0.0
2019-01-20,299717710.23465675,-59763072.456127524,-14836448.243914822,0.0
2019-01-21,299888524.77243024,29411053.371773105,-11916994.67013047,0.0
2019-01-22,300059339.3102038,31709658.661071032,-4023241.656908332,0.0
2019-01-23,300230153.84797734,21788293.23715052,2034580.5276343382,0.0
2019-01-24,300400968.38575083,35016615.23985786,1502384.0009956255,0.0
2019-01-25,300571782.9235244,10190474.821474096,-3872448.8002116918,0.0
